Day_of_Week,total,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
1,25.48,25.19,23.34,25.00,22.48,24.65,25.53,22.16,18.59,21.61,21.43,24.10,25.27,27.76,25.58,27.16,26.43,26.39,27.86,27.09,25.84,25.73,27.31,23.09,24.32,25.06,25.51,26.72,26.44,24.88,26.06,25.00,25.14,26.19,24.38,26.49,24.13
2,21.01,22.75,29.20,33.33,25.68,24.64,17.61,18.84,20.23,18.52,21.27,22.30,21.54,22.44,19.49,23.53,19.86,19.75,20.44,21.07,18.77,23.85,26.57,22.57,24.62,21.71,21.85,20.15,21.21,22.91,20.26,21.27,25.05,19.30,19.76,20.63,19.58
3,20.26,19.08,20.33,22.37,23.46,13.95,17.20,14.13,15.65,17.75,20.03,22.83,22.60,23.10,22.00,23.48,20.12,20.84,19.36,21.00,19.87,20.43,21.75,19.12,21.17,21.99,19.04,20.45,21.47,20.92,20.38,20.29,20.49,18.64,19.15,19.70,20.70
4,20.15,25.81,11.54,23.81,19.35,19.72,18.12,13.05,16.76,17.90,18.89,19.84,19.73,22.35,21.56,20.70,19.74,19.84,20.65,19.91,19.69,25.61,22.57,25.48,25.68,20.52,20.60,20.33,19.64,20.73,19.43,18.39,22.67,18.77,20.52,19.96,20.73
5,20.42,20.81,23.89,26.25,17.39,17.57,15.24,12.32,17.83,17.70,20.99,21.31,21.61,22.65,20.67,22.69,17.85,21.37,19.81,20.88,21.30,25.35,21.53,23.23,20.54,20.57,21.03,19.27,19.00,20.60,19.63,21.15,22.38,21.24,18.92,19.62,21.38
6,21.91,18.41,22.30,21.14,18.18,23.46,14.36,16.63,17.40,17.51,20.55,18.52,20.71,22.96,24.10,23.65,22.28,22.90,22.04,20.88,24.76,25.19,27.55,26.74,24.31,20.22,22.52,23.43,21.51,21.91,21.80,21.64,23.02,21.89,21.29,20.77,22.98
7,24.94,24.64,24.43,23.58,27.05,20.79,20.50,16.67,19.14,22.07,24.48,25.12,24.00,26.15,25.76,26.41,25.66,26.80,26.89,26.51,26.05,21.92,23.69,24.92,22.84,24.61,23.09,27.16,25.78,24.72,25.11,25.41,26.78,23.14,23.11,25.26,23.98
