Speed_limit,total,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
20,2664,30,28,28,22,7,9,16,68,195,146,106,149,143,175,187,259,231,261,187,135,102,78,54,48,154,150,200,229,219,240,241,243,244,282,266,196
30,89479,1247,906,692,586,449,629,1379,3399,6533,4579,4104,4657,5397,5367,5382,7303,7501,8073,6526,4754,3575,2545,2236,1656,6596,6259,6571,6496,7405,7671,8285,7446,7841,8701,8591,7617
40,11490,155,94,80,81,59,119,233,569,861,573,538,600,698,694,691,789,985,1102,796,527,406,340,282,218,857,804,850,850,928,979,1118,930,1027,1091,1084,972
50,5340,71,47,39,33,33,83,130,362,392,279,234,280,293,331,300,327,425,488,381,247,175,150,129,111,383,367,405,407,437,450,482,496,414,518,507,474
60,19990,266,200,181,130,115,215,509,1056,1484,1096,1036,1125,1212,1202,1251,1322,1535,1703,1285,918,693,564,517,371,1475,1454,1473,1328,1679,1746,1996,1831,1751,1799,1754,1704
70,9697,137,119,93,84,111,160,353,609,737,461,452,470,555,497,548,557,766,875,708,436,333,242,221,173,761,687,785,652,781,757,890,828,735,931,966,924
