Road_Surface_Conditions,total,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
Unknown,12.36,50,100,100,25,0,0,0,18.18,7.69,14.29,0,20,23.53,23.08,0,7.14,11.11,3.85,10,6.67,16.67,33.33,16.67,14.29,16.67,13.79,7.41,7.14,20.83,20,6.25,16.67,8.33,5,8,18.18
Dry,20.93,21.14,22.58,21.4,23,21.13,16.64,13.95,17.1,16.61,19.76,21.35,21.17,23.04,22.16,23.18,20.63,21.01,20.95,21.17,20.61,23.18,23.49,22.12,22.31,19.42,20.45,21.81,21.71,21.44,21.61,21.23,23.16,20.4,19.15,19.45,18.81
Flood,26.84,22.22,33.33,0,0,33.33,33.33,12.5,0,12.5,33.33,42.86,16.67,0,25,50,45.45,28.57,33.33,27.27,55.56,35.71,11.11,18.18,25,30,60,38.46,0,11.11,0,38.89,28.57,25,21.21,43.75,18.46
Ice,22.83,22.58,36.11,36.67,12.5,22.5,14.94,17.28,17.86,22.22,25.91,24,15.52,26.67,37.21,39.47,33.33,16.92,24.1,28.75,28.92,24.1,20.9,20,39.58,23.74,22.25,20.76,17.39,25,0,50,0,NULL,0,21.83,24.64
Snow,24.6,32.14,30.77,31.82,28.57,25,12.5,14.29,28.57,11.98,20.71,27.27,25.86,22.12,23.66,27.03,33.33,24.8,25.21,27.55,32.47,24.62,22.81,29.27,31.11,24.05,26.58,24.73,22.22,0,0,0,33.33,25,0,10,42.86
Wet,23.99,26.4,22.62,29.08,23.65,21.43,22.48,18,18.14,21.54,23,23.42,25.7,27.28,24.9,26.27,22.79,25.34,23.5,23.83,25.41,25.94,26.8,27.37,24.05,23.19,24.27,23.78,24.3,25.19,23.45,25.48,26.76,23.8,23.01,24.07,24.1
