Light_Conditions,total,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
No-Lights,7295,364,292,249,194,148,242,327,207,32,5,8,6,6,6,5,52,377,752,743,690,664,673,696,557,969,729,567,289,277,235,246,357,450,772,1158,1246
Lights-Unknown,2016,62,52,36,35,47,56,106,123,5,1,1,2,2,1,4,13,78,334,276,243,197,140,115,87,233,174,168,195,186,198,64,68,93,154,240,243
Lights,26906,1390,989,772,663,465,500,645,502,49,8,12,10,14,10,18,162,1628,3112,3381,2919,2777,2571,2456,1853,3439,2632,2112,1103,1009,842,915,1272,1744,3084,4398,4356
Lights-Unlit,780,36,32,28,9,13,23,27,40,26,14,15,13,13,17,13,29,64,85,52,52,56,50,43,30,84,63,50,40,41,37,47,49,70,87,97,115
Daylight,101663,54,29,28,35,101,394,1515,5191,10090,7106,6434,7250,8263,8232,8319,10301,9296,8219,5431,3113,1590,485,129,50,5501,6123,7387,8335,9936,10531,11740,10028,9655,9225,7275,5927
