Road_Type,total,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
Dual-Carriageway,19751,306,209,174,164,165,252,540,1054,1400,1009,924,955,1130,1123,1152,1252,1603,1823,1428,956,710,554,476,392,1531,1383,1523,1420,1567,1582,1818,1672,1556,1960,1957,1782
One-Way,2744,47,38,47,47,23,19,35,60,127,132,147,178,194,201,187,229,220,219,160,121,112,74,71,55,193,209,186,201,207,256,242,280,222,277,252,219
Roundabout,9405,103,81,59,53,44,111,272,569,641,449,512,498,539,542,546,652,791,836,647,517,339,256,218,130,645,687,656,682,742,837,913,787,873,913,853,817
Single-Carriageway,104845,1432,1051,814,658,525,818,1743,4297,7891,5457,4780,5550,6315,6279,6354,8286,8664,9438,7514,5333,4063,2977,2632,1967,7722,7302,7769,7520,8786,9003,9884,8873,9194,9981,9917,8894
Slip-Road,1423,15,11,14,8,12,14,25,74,96,61,77,70,84,83,86,96,117,148,111,72,49,42,33,25,93,102,109,99,101,124,106,129,131,153,142,134
Unknown,492,3,4,5,6,5,1,5,9,47,26,30,30,36,38,34,42,48,38,23,18,11,16,9,8,42,38,41,40,46,41,49,33,36,38,47,41
